price,latitude,longitude,bedrooms,bathrooms,land_size,building_size,carports,maid_bedrooms,maid_bathrooms,floors,building_age,property_condition,garages,furnishing
750000000.0,-6.1817523,106.9736839,2.0,1.0,94.0,75.0,1.0,1.0,1.0,1.0,22.0,1,0.0,0
1250000000.0,-6.1817523,106.9736839,5.0,4.0,125.0,136.0,1.0,0.0,0.0,2.0,0.0,2,1.0,1
4300000000.0,-6.1817523,106.9736839,4.0,4.0,325.0,200.0,2.0,1.0,1.0,3.0,0.0,1,1.0,0
1800000000.0,-6.1817523,106.9736839,2.0,2.0,133.0,80.0,1.0,1.0,1.0,2.0,0.0,2,1.0,0
520000000.0,-6.1817523,106.9736839,3.0,1.0,36.0,60.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0
1300000000.0,-6.1817523,106.9736839,2.0,2.0,84.0,56.0,2.0,0.0,0.0,2.0,4.0,1,0.0,1
685000000.0,-6.1817523,106.9736839,2.0,1.0,94.0,110.0,1.0,0.0,0.0,1.0,6.0,1,1.0,0
930000000.0,-6.1817523,106.9736839,2.0,1.0,105.0,70.0,1.0,0.0,0.0,1.0,6.0,1,1.0,0
685000000.0,-6.1817523,106.9736839,2.0,1.0,94.0,110.0,1.0,0.0,0.0,1.0,6.0,1,1.0,0
2100000000.0,-6.1817523,106.9736839,4.0,3.0,180.0,150.0,2.0,0.0,0.0,2.0,0.0,2,0.0,1
520000000.0,-6.1817523,106.9736839,3.0,1.0,60.0,45.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0
520000000.0,-6.1817523,106.9736839,3.0,1.0,60.0,45.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0
1200000000.0,-6.1817523,106.9736839,2.0,1.0,119.0,63.0,1.0,0.0,0.0,1.0,7.0,2,1.0,0
1450000000.0,-6.1817523,106.9736839,4.0,3.0,131.0,225.0,2.0,0.0,0.0,2.0,0.0,1,0.0,0
1200000000.0,-6.1817523,106.9736839,2.0,2.0,90.0,53.0,1.0,0.0,0.0,2.0,0.0,2,1.0,0
1450000000.0,-6.1817523,106.9736839,4.0,3.0,131.0,225.0,2.0,1.0,1.0,2.0,0.0,1,0.0,0
620000000.0,-6.1817523,106.9736839,2.0,1.0,96.0,70.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0
